""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"5-D44PM"	95627	85568	85348	85345	76029	59424
"5-D45AM"	66035	61615	61398	61490	58258	46259
"5-D45PM"	65284	60375	60280	60253	56875	46096
"5-D46"	94290	87803	87549	87622	80206	62497
"5-D47"	125800	116070	115700	115785	106139	82253
"5-D4AM"	84754	74898	74541	74550	65667	54026
"5-D4PM"	92978	85524	84982	85233	77232	61699
"5-D5"	92055	82909	82355	82616	73041	59143
"5-D50AM"	69072	64022	63765	63852	58765	44247
"5-D50PM"	77529	70301	70042	70118	61823	47272
"5-D51AM"	64814	60358	60050	60221	56081	43593
"5-D51PM"	60275	55707	55521	55593	51620	40337
"5-D52AM"	70860	64231	64099	64093	57396	48125
"5-D52PM"	74725	66475	66174	66281	55861	43816
"5-D53"	72289	64043	63755	63803	57558	44425
"5-D54"	63163	54922	54720	54732	49005	40654
"5-D57AM"	67921	62306	61982	61953	55553	43364
"5-D57PM"	67287	61735	61375	61534	54300	41199
"5-D58AM"	51732	47926	47755	47787	43651	35180
"5-D58PM"	62924	58377	58051	58181	52475	39217
"5-D59AM"	62409	58215	57959	57901	51342	40913
"5-D59PM"	69955	64908	64482	64698	57882	44378
"5-D6"	91927	83197	82775	82946	71370	56665
"5-D60AM"	36044	33354	33244	33248	29462	23918
"5-D60PM"	57865	55069	54812	54939	50638	40415
"5-D61"	84425	78547	78203	78287	69506	53774
"5-D62"	51318	48371	48111	48222	44358	35313
"5-D63"	54597	51748	51451	51547	47000	35831
"5-D64AM"	47270	44481	44332	44376	40159	32383
"5-D64PM"	49350	46565	46387	46440	42698	34983
"5-D7"	78755	70562	70191	70322	63052	51187
"5-D8"	35751	32683	32638	32615	30708	27334
"5-D9"	63119	57496	57172	57299	51697	40040
"6-D0AM"	8960	8101	8057	8063	7302	7200
"6-D0PM"	50213	45870	45766	45755	30767	26948
"6-D10"	64479	60544	60344	60417	56533	48523
"6-D11"	78456	74113	73860	73970	69227	57940
"6-D14"	142273	116652	116390	115955	102652	86987
"6-D16"	155650	131695	131536	131105	117068	101185
"6-D18"	149553	137927	137517	137697	127573	103949
"6-D1AM"	73423	65747	65627	65569	60013	55328
"6-D1PM"	70132	63443	63350	63304	58103	51070
"6-D21AM"	205035	190291	189723	189873	175477	143608
"6-D21PM"	128507	118278	117934	118011	108113	88530
"6-D22AM"	64126	60505	60231	60374	57009	48279
"6-D22PM"	64286	56374	56100	56134	51072	45912
"6-D23AM"	59106	55850	55605	55710	53043	46647
"6-D23PM"	62319	58407	58046	58237	54355	46864
"6-D24"	59759	54194	54022	54078	51275	45104
"6-D25"	80847	76412	76051	76252	72717	62705
"6-D28AM"	86578	79696	79370	79480	74004	63725
"6-D28PM"	61860	57486	57064	57298	52666	45407
"6-D29AM"	102918	96514	96110	96369	90709	74960
"6-D29PM"	93594	87140	86835	87000	79738	64388
"6-D2AM"	81382	73218	73015	73002	66678	55913
"6-D2PM"	73612	67146	66947	66992	63120	53507
"6-D30AM"	95099	88582	88439	88453	82600	73435
"6-D30PM"	92558	85654	85550	85535	80168	69529
"6-D31AM"	113039	106118	105808	105929	97823	80825
"6-D31PM"	104953	98423	98137	98227	91959	75413
"6-D32"	104195	96450	96150	96270	87711	71401
"6-D33"	100203	92555	92272	92410	84727	68280
"6-D35AM"	89162	83721	83543	83599	79229	65911
"6-D35PM"	117982	106133	105833	105915	94999	75847
"6-D36AM"	98789	90060	89875	89930	84368	68725
"6-D36PM"	94973	86467	86332	86316	80739	67917
"6-D37AM"	83712	73239	73112	73044	65993	58196
"6-D37PM"	120290	101697	101480	101207	88037	74896
"6-D38"	109052	99010	98824	98848	91848	80770
"6-D39"	110136	99019	98866	98789	92207	81009
"6-D3AM"	84304	75683	75426	75406	68654	59224
"6-D3PM"	158453	132762	132570	131602	113387	100645
"6-D42AM"	82408	74858	74760	74738	71282	62085
"6-D42PM"	89042	82776	82643	82630	78194	66106
"6-D43AM"	71147	66381	66254	66263	62227	52927
"6-D43PM"	90715	84819	84673	84712	80566	69620
"6-D44AM"	87381	81079	80907	80951	76034	62433
"6-D44PM"	120358	112300	112142	112146	104941	86295
"6-D45AM"	82201	77696	77603	77597	74554	64929
"6-D45PM"	85612	80482	80378	80369	76801	65567
"6-D46"	98377	91637	91414	91502	85219	70016
"6-D47"	118008	111741	111557	111590	105991	88108
"6-D4AM"	82878	74289	73963	73965	67044	56496
"6-D4PM"	97931	89076	88762	88793	82151	67175
"6-D5"	94904	85997	85703	85711	78887	66604
"6-D50AM"	88252	83791	83596	83659	79152	66623
"6-D50PM"	73724	69132	69000	69025	64288	52989
"6-D51AM"	100307	94704	94545	94572	90308	77763
"6-D51PM"	75595	70573	70432	70452	66459	54992
"6-D52AM"	125096	115370	115252	115168	106623	93244
"6-D52PM"	70390	64878	64733	64722	59247	50050
"6-D53"	55800	51266	51115	51139	45755	39045
"6-D54"	66122	58641	58432	58464	50517	44146
"6-D57AM"	92976	87858	87602	87485	79269	68431
"6-D57PM"	60714	56748	56527	56544	50819	43685
"6-D58AM"	60154	56645	56456	56447	52059	42441
"6-D58PM"	68724	64711	64496	64543	58751	47147
"6-D59AM"	71174	67168	66860	66933	60424	48671
"6-D59PM"	53359	49693	49550	49531	45009	36848
"6-D6"	93156	85009	84788	84727	78861	65908
"6-D60AM"	75195	69691	69437	69339	61898	53972
"6-D60PM"	81223	77073	76833	76887	72344	60042
"6-D61"	95416	89060	88813	88792	81366	64365
"6-D62"	70816	66392	66207	66198	60969	51970
"6-D63"	77974	74310	74047	74073	68097	51135
"6-D64AM"	52503	49329	49157	49154	44946	37371
"6-D64PM"	42250	39760	39651	39642	36299	30619
"6-D7"	79729	70477	70248	70119	63230	52635
"6-D8"	37429	34675	34626	34611	32732	29919
"6-D9"	96931	85733	85491	85431	77141	64374
"7-D0AM"	22593	20564	20517	20501	17661	16947
"7-D0PM"	60463	55979	55801	55863	39687	34619
"7-D10"	82795	77598	77287	77469	71968	60227
"7-D11"	149988	129471	129191	128969	115888	94280
"7-D14"	137739	113816	113468	113234	100179	82900
"7-D16"	159922	136597	136396	136085	121717	104165
"7-D18"	195630	181682	180994	181230	164932	126613
"7-D1AM"	72106	64999	64862	64832	57973	52953
"7-D1PM"	92704	83663	83180	83411	74723	63090
"7-D21AM"	165979	140218	139665	139562	120936	98086
"7-D21PM"	115599	106277	105832	106021	98972	81251
"7-D22AM"	71121	67149	66802	67013	63288	53134
"7-D22PM"	81491	75053	74659	74871	69843	61725
"7-D23AM"	69691	65480	65217	65310	61809	54392
"7-D23PM"	66109	59965	59625	59786	55957	49397
"7-D24"	58853	52123	51915	51977	49112	44342
"7-D25"	70716	66936	66540	66760	63225	55299
"7-D28AM"	79134	74531	74262	74369	70227	60878
"7-D28PM"	68350	64701	64260	64475	59905	52699
"7-D29AM"	77589	73052	72771	72920	68815	57765
"7-D29PM"	108402	101525	101140	101340	93635	76393
"7-D2AM"	80655	72762	72543	72552	66667	56003
"7-D2PM"	103313	94788	94531	94617	89265	76628
"7-D30AM"	88210	79054	78938	78831	71406	61958
"7-D30PM"	74126	68465	68230	68329	61783	49004
"7-D31AM"	66775	62121	61933	62007	56779	47272
"7-D31PM"	70307	66029	65849	65917	62188	51641
"7-D32"	105490	94690	94338	94457	82977	65520
"7-D33"	94622	87782	87524	87661	81971	65829
"7-D35AM"	71919	66341	66200	66220	62338	51143
"7-D35PM"	89038	80446	80193	80296	73440	60834
"7-D36AM"	92085	84355	84231	84198	79712	67686
"7-D36PM"	126910	113468	113218	113217	106828	88113
"7-D37AM"	87450	77303	77188	77136	70448	61906
"7-D37PM"	104194	91690	91450	91417	83552	70178
"7-D38"	99441	89914	89752	89751	83835	74688
"7-D39"	111281	98243	98047	98018	91278	78948
"7-D3AM"	91841	81846	81672	81571	74750	64219
"7-D3PM"	86548	76258	76133	75898	68144	60605
"7-D42AM"	96078	87252	87033	87070	82252	68551
"7-D42PM"	86687	81377	81222	81227	77208	66027
"7-D43AM"	95190	89251	89062	89109	84164	69924
"7-D43PM"	74591	70294	70213	70219	66640	59002
"7-D44AM"	65199	61069	61028	61004	57969	51178
"7-D44PM"	97916	91653	91494	91502	85729	72642
"7-D45AM"	107854	102198	101979	102079	97809	81617
"7-D45PM"	109556	103818	103565	103653	99122	82325
"7-D46"	111540	104573	104350	104416	97613	80098
"7-D47"	100184	95341	95076	95171	89973	74403
"7-D4AM"	149952	133888	133545	133386	120868	102592
"7-D4PM"	101270	93100	92824	92898	87256	70963
"7-D5"	88810	80592	80348	80362	73858	60980
"7-D50AM"	98377	92748	92527	92589	86657	70603
"7-D50PM"	79694	74664	74476	74545	68686	56326
"7-D51AM"	93222	88140	87900	88012	83480	69186
"7-D51PM"	87908	82609	82514	82510	78812	67637
"7-D52AM"	79556	73387	73297	73267	67863	59520
"7-D52PM"	73183	67599	67452	67435	61289	51794
"7-D53"	90761	83832	83577	83642	75870	62845
"7-D54"	78601	72422	72183	72256	64832	55857
"7-D57AM"	63298	59778	59540	59544	54341	47652
"7-D58AM"	71944	68088	67892	67919	61247	49862
"7-D58PM"	66830	63316	63082	63158	58441	47379
"7-D59AM"	61785	59052	58751	58895	53765	44662
"7-D59PM"	83667	79113	78820	78928	72499	59667
"7-D6"	125725	111895	111576	111444	101884	83759
"7-D60AM"	59491	55806	55518	55599	49566	40248
"7-D60PM"	99256	95209	94829	94931	88921	70930
"7-D61"	85173	80046	79784	79793	73086	61220
"7-D62"	83537	79521	79272	79341	73696	61010
"7-D63"	68668	65692	65461	65528	60740	48006
"7-D64AM"	68965	65592	65417	65416	60925	50946
"7-D64PM"	68365	65259	65098	65127	61161	52332
"7-D7"	100747	89720	89431	89285	81117	66379
"7-D8"	74922	69340	69171	69228	64675	52842
"7-D9"	102950	94766	94455	94555	88181	73866
"8-D0AM"	12985	11678	11642	11641	10792	10457
"8-D0PM"	65424	59924	59624	59761	47058	39771
"8-D10"	68321	62162	61978	61998	56301	46601
"8-D11"	108521	94495	94298	94090	84876	72211
"8-D14"	143957	124271	123988	123796	110815	91383
"8-D16"	131811	114579	114372	114216	103597	90058
"8-D18"	187127	173350	172810	173052	160366	129486
"8-D1AM"	75571	66216	66006	65932	57413	52432
"8-D1PM"	76068	68936	68683	68780	62848	54528
"8-D21AM"	159843	145194	144775	144814	131683	106033
"8-D21PM"	104198	97036	96736	96872	91713	77339
"8-D22AM"	82029	77614	77226	77430	73626	63014
"8-D22PM"	77680	72415	72102	72239	67483	59832
"8-D23AM"	69556	64235	64043	64070	60418	53643
"8-D23PM"	61010	55621	55278	55487	52133	47073
"8-D24"	56834	50555	50435	50407	47988	42787
"8-D25"	73332	69706	69248	69556	66270	56972
"8-D28AM"	83922	79253	78863	79083	74207	62231
"8-D28PM"	59045	55051	54726	54932	51281	44583
"8-D29AM"	83226	77470	77270	77356	72604	58791
"8-D29PM"	89978	82964	82693	82839	76519	60496
"8-D2AM"	89123	81203	80940	81000	74819	63020
"8-D2PM"	97571	88279	88044	88075	82242	70179
"8-D30AM"	73473	67595	67476	67480	62767	54128
"8-D30PM"	100190	92927	92691	92752	84911	70347
"8-D31AM"	84512	78020	77789	77886	71934	60399
"8-D31PM"	80858	75770	75577	75650	71246	58871
"8-D32"	97652	88986	88765	88797	80597	66870
"8-D33"	115596	107435	107213	107291	101374	84366
"8-D35AM"	71672	66007	65778	65885	61482	50881
"8-D35PM"	99176	90933	90605	90787	82618	67738
"8-D36AM"	131546	120462	120202	120238	113970	93179
"8-D36PM"	113839	102984	102745	102782	97393	81849
"8-D37AM"	102746	90627	90523	90409	83501	76038
"8-D37PM"	90996	80606	80442	80384	73567	65745
"8-D38"	97270	88148	87959	87991	83258	76906
"8-D39"	108853	99783	99633	99622	94939	85298
"8-D3AM"	80939	72151	71955	71908	66473	57934
"8-D3PM"	94124	83169	83006	82809	74857	67063
"8-D42AM"	99100	92120	91995	92032	89012	77369
"8-D42PM"	89662	84624	84539	84538	81621	69374
"8-D43AM"	97203	89904	89774	89759	83852	69788
"8-D43PM"	81481	76263	76219	76180	72197	63448
"8-D44AM"	73446	68984	68920	68906	65176	57171
"8-D44PM"	79443	75048	74966	74965	71145	61805
"8-D45AM"	105409	98991	98795	98826	94079	81235
"8-D45PM"	107499	100254	100060	100121	94026	78448
"8-D46"	104000	97611	97519	97502	91722	79012
"8-D47"	96452	91905	91717	91781	87626	73617
"8-D4AM"	110124	93767	93502	92985	81026	68898
"8-D4PM"	90449	83372	83079	83200	77902	65791
"8-D5"	109258	97170	96893	96753	86722	72914
"8-D50AM"	117085	107999	107718	107695	99637	82950
"8-D50PM"	72258	67408	67240	67296	62629	52705
"8-D51AM"	88423	80927	80739	80766	75067	63649
"8-D51PM"	78393	71919	71834	71777	65815	57529
"8-D52AM"	85628	78047	77931	77844	71433	62642
"8-D52PM"	75976	70756	70538	70602	65291	55331
"8-D53"	92401	83427	83150	83181	73946	61559
"8-D54"	48309	42120	41878	41978	37790	31922
"8-D57AM"	68066	63922	63647	63733	59234	48372
"8-D57PM"	85267	79103	78842	78828	71502	58965
"8-D58AM"	75735	71343	71072	71162	65625	52692
"8-D58PM"	68052	64183	64016	64037	59987	49836
"8-D59AM"	68557	65642	65360	65462	60821	47035
"8-D59PM"	69985	65253	65052	64998	58163	46874
"8-D6"	98549	87839	87601	87433	80389	67388
"8-D60AM"	84027	80624	80327	80463	75423	60290
"8-D60PM"	59784	57323	57172	57164	54151	44963
"8-D61"	89121	84283	84026	84083	78624	66018
"8-D62"	78429	74183	73968	73913	68022	56879
"8-D63"	73590	70655	70380	70505	66294	53159
"8-D64AM"	117929	111169	110902	110782	101895	84341
"8-D64PM"	116124	109156	108757	108913	100228	80118
"8-D7"	125468	112853	112584	112434	104019	86638
"8-D8"	81920	76476	76245	76365	71584	57901
"8-D9"	83836	78057	77802	77893	71932	59772
"9-D0AM"	6977	6047	5956	5939	5066	4959
"9-D0PM"	55183	50694	50494	50576	37742	32088
"9-D10"	72038	67134	66964	67029	62304	52139
"9-D11"	126869	111510	111223	111124	99470	82218
"9-D14"	124160	104351	104218	103796	92491	81834
"9-D16"	125987	96462	96319	95701	82741	70820
"9-D18"	93852	86596	86347	86446	79728	64292
"9-D1AM"	70055	63051	62958	62889	57527	52349
"9-D1PM"	76999	69885	69505	69638	62979	52173
"9-D21AM"	194884	177892	177144	177298	159363	122280
"9-D21PM"	138580	128590	128083	128299	120909	98085
"9-D22AM"	76921	72746	72402	72599	68997	61316
"9-D22PM"	66953	61675	61405	61482	57359	50144
"9-D23AM"	47723	44474	43996	44264	40886	36365
"9-D23PM"	68341	60943	60510	60751	56463	49930
"9-D24"	70144	64532	64318	64403	61615	56252
"9-D25"	68154	63847	63594	63740	61147	55507
"9-D28AM"	89837	85596	84775	85256	77983	62961
"9-D28PM"	80237	76137	75731	75975	71909	64525
"9-D29AM"	103127	96327	96001	96154	90528	74590
"9-D29PM"	47371	44023	43844	43950	40589	32457
"9-D2AM"	86323	78120	77874	77906	72368	60034
"9-D2PM"	107993	98159	97892	97914	92212	77858
"9-D30AM"	80503	75079	74962	74978	69724	60656
"9-D30PM"	113412	106494	106175	106311	98119	79806
"9-D31AM"	145319	135195	134784	134977	124643	100865
"9-D31PM"	92181	86851	86544	86715	82159	68043
"9-D32"	104609	97296	96971	97121	87745	70390
"9-D33"	84669	79012	78822	78908	75014	63650
"9-D35AM"	85219	79667	79344	79519	74223	60313
"9-D35PM"	117465	107851	107406	107636	98274	77726
"9-D36AM"	114949	102283	101932	102010	93499	75645
"9-D36PM"	118837	105474	105327	105213	95336	81630
"9-D37AM"	93318	80140	80047	79784	71366	63845
"9-D37PM"	102743	90430	90201	90168	82771	71384
"9-D38"	121796	105279	105071	104934	95866	85697
"9-D39"	82466	74031	73958	73933	70884	66018
"9-D3AM"	104851	93510	93297	93206	86466	73998
"9-D3PM"	86024	76026	75886	75747	68340	61655
"9-D42AM"	88623	80498	80378	80343	76488	64926
"9-D42PM"	87100	81498	81376	81397	77924	65010
"9-D43AM"	89744	83899	83687	83792	79156	65832
"9-D43PM"	67650	63623	63586	63554	60340	53893
"9-D44AM"	64221	60296	60255	60217	57416	51169
"9-D44PM"	97187	90666	90537	90543	85579	71200
"9-D45AM"	96632	91467	91347	91368	87152	73168
"9-D45PM"	107752	100966	100717	100844	94012	77423
"9-D46"	110031	102446	102224	102287	95505	78597
"9-D47"	121919	115538	115251	115382	109902	90474
"9-D4AM"	86676	76729	76534	76388	69003	58216
"9-D4PM"	104427	96744	96308	96547	90446	75822
"9-D5"	128545	116659	116271	116293	105334	86070
"9-D50AM"	106725	100442	100223	100280	94062	77419
"9-D50PM"	80721	75217	75058	75113	69896	56694
"9-D51AM"	97523	90745	90557	90605	85312	70930
"9-D51PM"	104544	95486	95403	95293	87816	77304
"9-D52AM"	71090	63176	63090	63010	57307	50394
"9-D52PM"	108379	98035	97697	97776	87695	72386
"9-D53"	97200	89470	89160	89290	80496	66969
"9-D54"	47840	41679	41474	41558	37481	31957
"9-D57AM"	61131	57475	57276	57324	53550	45504
"9-D57PM"	73018	68075	67777	67856	61149	50207
"9-D58AM"	60547	57071	56822	56880	50858	40925
"9-D58PM"	47603	45016	44921	44890	40820	33432
"9-D59AM"	60171	57461	57204	57283	53142	41958
"9-D59PM"	86562	81495	81222	81269	74575	57692
"9-D6"	112303	99620	99327	99112	90022	73756
"9-D60AM"	75393	72063	71772	71876	67343	54154
"9-D60PM"	70428	67679	67401	67473	63637	49803
"9-D61"	80002	74777	74544	74590	69188	57351
"9-D62"	98592	92979	92688	92734	85280	69889
"9-D63"	63592	60600	60333	60462	56237	43749
"9-D64AM"	50111	47410	47242	47273	43468	34748
"9-D64PM"	110807	104081	103699	103818	95539	76364
"9-D7"	86922	79153	78916	78986	72694	60402
"9-D8"	80508	74513	74238	74379	69326	56954
"9-D9"	85804	79697	79423	79544	73856	61719
"inoculum-6-10"	53435	50779	50163	50420	45278	38624
"inoculum1-5"	34276	32528	31798	32253	29103	26409
"M2-D10-1A"	81221	75462	75161	75240	71101	60630
"M2-D10-1B"	86852	81197	80825	80898	76639	65483
"M2-D10-2A"	97014	90843	90428	90543	85831	73911
"M2-D10-2B"	88279	81539	81169	81186	75862	65829
"M2-D10-3A"	89381	83385	83117	83113	79072	67700
"M2-D10-3B"	101825	95136	94753	94804	90304	77643
"M2-D8-1A"	79141	74548	74161	74278	71027	60334
"M2-D8-1B"	78989	74548	74164	74268	71104	61007
"M2-D8-2A"	90652	85700	85286	85378	81671	70090
"M2-D8-2B"	93297	87188	86738	86762	81456	69451
"M2-D8-3A"	91712	86664	86309	86390	82255	69375
"M2-D8-3B"	105965	100316	99864	99933	95502	82878
"M2-D9-1A"	90845	86021	85601	85719	82373	70793
"M2-D9-1B"	82071	77476	77127	77249	74040	63229
"M2-D9-2A"	124952	118536	117901	118156	112801	92735
"M2-D9-2B"	87309	82298	81943	82016	78508	68162
"M2-D9-3A"	110523	104550	104077	104257	99916	86782
"M2-D9-3B"	80303	76281	75963	76117	73545	65272
